PROV_ID,YEAR,WEEK,EVA71,CVA16,OTHER
12,2011,16,35,20,12
12,2011,17,63,35,21
12,2011,18,82,46,27
12,2011,19,145,81,47
12,2011,20,202,125,71
12,2011,21,278,172,97
12,2011,22,318,197,111
12,2011,23,364,226,127
12,2011,24,361,247,218
12,2011,25,403,276,244
12,2011,26,497,340,301
12,2011,27,519,355,314
12,2011,28,358,213,135
12,2011,29,337,201,127
12,2011,30,273,163,103
12,2011,31,254,152,96
12,2011,32,162,113,35
12,2011,33,129,90,28
12,2011,34,117,82,25
12,2011,35,83,58,18
12,2011,36,87,82,23
12,2011,37,90,85,24
12,2011,38,87,82,23
12,2011,39,80,76,21
12,2011,40,67,54,12
12,2011,41,60,48,11
12,2011,42,81,66,15
12,2011,43,79,64,15
12,2011,44,66,89,20
12,2011,45,90,122,27
12,2011,46,84,113,25
12,2011,47,61,82,18
12,2011,48,46,67,15
12,2011,49,37,54,12
12,2011,50,18,27,6
12,2011,51,19,27,6
12,2011,52,15,15,4
12,2012,1,11,11,3
12,2012,2,7,7,2
12,2012,3,6,6,1
12,2012,4,3,3,1
12,2012,5,3,3,1
12,2012,6,5,6,1
12,2012,7,5,6,1
12,2012,8,9,9,2
12,2012,9,7,7,1
12,2012,10,12,11,2
12,2012,11,11,10,2
12,2012,12,9,13,3
12,2012,13,17,27,6
12,2012,14,14,21,5
12,2012,15,18,28,6
12,2012,16,40,56,14
12,2012,17,42,58,15
12,2012,18,98,136,34
12,2012,19,130,182,45
12,2012,20,230,299,111
12,2012,21,281,366,136
12,2012,22,368,479,178
12,2012,23,438,571,212
12,2012,24,401,498,269
12,2012,25,362,449,243
12,2012,26,362,449,242
12,2012,27,371,460,249
12,2012,28,360,343,213
12,2012,29,240,229,142
12,2012,30,164,157,97
12,2012,31,107,102,63
12,2012,32,87,85,40
12,2012,33,64,62,29
12,2012,34,52,51,24
12,2012,35,42,41,19
12,2012,36,43,31,10
12,2012,37,43,31,10
12,2012,38,54,39,13
12,2012,39,41,30,10
12,2012,40,45,27,17
12,2012,41,27,16,10
12,2012,42,29,18,11
12,2012,43,23,14,9
12,2012,44,30,20,10
12,2012,45,35,23,12
12,2012,46,27,17,9
12,2012,47,30,20,10
12,2012,48,21,21,13
12,2012,49,17,16,10
12,2012,50,16,15,9
12,2012,51,16,15,10
12,2012,52,11,10,7
12,2013,1,4,5,1
12,2013,2,3,3,0
12,2013,3,1,1,0
12,2013,4,2,3,0
12,2013,5,2,1,0
12,2013,6,3,2,1
12,2013,7,2,2,1
12,2013,8,3,2,1
12,2013,9,3,2,5
12,2013,10,5,4,7
12,2013,11,6,4,8
12,2013,12,6,4,8
12,2013,13,10,6,14
12,2013,14,14,9,20
12,2013,15,18,12,27
12,2013,16,24,16,35
12,2013,17,24,11,50
12,2013,18,30,14,63
12,2013,19,40,18,83
12,2013,20,61,28,127
12,2013,21,99,41,158
12,2013,22,158,67,254
12,2013,23,198,83,317
12,2013,24,231,97,370
12,2013,25,217,94,328
12,2013,26,251,109,378
12,2013,27,277,120,417
12,2013,28,204,88,307
12,2013,29,133,96,215
12,2013,30,96,70,156
12,2013,31,73,53,118
12,2013,32,66,48,107
12,2013,33,45,29,65
12,2013,34,38,25,55
12,2013,35,32,21,46
12,2013,36,21,14,30
12,2013,37,20,27,30
12,2013,38,19,26,29
12,2013,39,19,26,29
12,2013,40,19,26,29
12,2013,41,20,23,20
12,2013,42,24,28,25
12,2013,43,21,24,22
12,2013,44,26,30,27
12,2013,45,25,35,37
12,2013,46,18,25,27
12,2013,47,18,26,27
12,2013,48,19,26,28
12,2013,49,14,15,11
12,2013,50,7,7,5
12,2013,51,6,6,4
12,2013,52,3,3,2
12,2013,53,1,1,1
13,2009,1,9,13,0
13,2009,2,8,11,0
13,2009,3,6,8,0
13,2009,4,3,5,0
13,2009,5,12,0,0
13,2009,6,11,0,0
13,2009,7,22,0,0
13,2009,8,41,0,0
13,2009,9,22,33,3
13,2009,10,36,53,4
13,2009,11,64,94,8
13,2009,12,116,171,14
13,2009,13,393,313,134
13,2009,14,765,611,260
13,2009,15,914,730,311
13,2009,16,1324,1057,451
13,2009,17,2473,1990,530
13,2009,18,2499,2010,535
13,2009,19,2065,1661,442
13,2009,20,1841,1481,395
13,2009,21,1711,1528,403
13,2009,22,1548,1383,365
13,2009,23,1391,1243,328
13,2009,24,1399,1250,330
13,2009,25,1271,1106,563
13,2009,26,1400,1219,620
13,2009,27,1256,1094,556
13,2009,28,1110,966,491
13,2009,29,1344,1014,345
13,2009,30,1375,1037,353
13,2009,31,1182,891,304
13,2009,32,978,738,251
13,2009,33,658,878,283
13,2009,34,513,684,221
13,2009,35,436,582,188
13,2009,36,401,535,173
13,2009,37,342,539,135
13,2009,38,348,548,137
13,2009,39,309,488,122
13,2009,40,255,402,100
13,2009,41,314,243,71
13,2009,42,238,184,54
13,2009,43,276,213,62
13,2009,44,257,199,58
13,2009,45,152,354,152
13,2009,46,93,216,93
13,2009,47,61,143,61
13,2009,48,33,76,33
13,2009,49,25,84,13
13,2009,50,23,76,11
13,2009,51,19,62,9
13,2009,52,15,51,8
13,2009,53,7,9,2
13,2010,1,4,6,1
13,2010,2,3,4,1
13,2010,3,3,4,1
13,2010,4,1,2,1
13,2010,5,1,2,1
13,2010,6,0,1,1
13,2010,7,0,1,1
13,2010,8,3,4,1
13,2010,9,9,11,2
13,2010,10,17,21,3
13,2010,11,21,26,4
13,2010,12,24,53,24
13,2010,13,31,66,31
13,2010,14,66,142,66
13,2010,15,141,304,141
13,2010,16,282,299,112
13,2010,17,470,498,187
13,2010,18,612,648,244
13,2010,19,896,950,357
13,2010,20,1261,1018,729
13,2010,21,1368,1105,791
13,2010,22,1603,1295,928
13,2010,23,1441,1164,834
13,2010,24,1263,706,731
13,2010,25,1125,629,651
13,2010,26,1094,611,633
13,2010,27,958,535,554
13,2010,28,683,419,460
13,2010,29,666,408,448
13,2010,30,510,313,344
13,2010,31,391,240,263
13,2010,32,270,218,156
13,2010,33,221,178,128
13,2010,34,210,170,122
13,2010,35,195,157,113
13,2010,36,212,237,126
13,2010,37,187,210,111
13,2010,38,196,221,117
13,2010,39,164,184,97
13,2010,40,151,120,65
13,2010,41,140,111,60
13,2010,42,177,140,76
13,2010,43,186,147,80
13,2010,44,277,202,128
13,2010,45,284,207,131
13,2010,46,255,185,118
13,2010,47,201,146,93
13,2010,48,225,76,70
13,2010,49,143,48,44
13,2010,50,121,41,37
13,2010,51,68,23,21
13,2010,52,24,38,21
13,2011,1,18,28,15
13,2011,2,14,23,13
13,2011,3,9,14,8
13,2011,4,13,0,3
13,2011,5,4,0,1
13,2011,6,8,0,2
13,2011,7,8,0,2
13,2011,8,6,4,1
13,2011,9,10,7,2
13,2011,10,12,8,3
13,2011,11,21,14,5
13,2011,12,32,14,17
13,2011,13,35,15,18
13,2011,14,49,21,25
13,2011,15,79,34,41
13,2011,16,151,85,50
13,2011,17,228,128,75
13,2011,18,297,166,97
13,2011,19,426,239,140
13,2011,20,561,347,196
13,2011,21,718,445,251
13,2011,22,789,489,276
13,2011,23,832,516,291
13,2011,24,857,586,518
